order_id,product_id,quantity,unit_price,subtotal
O000001,P0044,3,45.57,136.71
O000001,P0025,3,39.38,118.14
O000002,P0053,2,36.37,72.74
O000002,P0034,1,28.94,28.94
O000002,P0029,1,38.08,38.08
O000003,P0002,1,50.25,50.25
O000003,P0074,1,139.6,139.6
O000003,P0048,1,102.95,102.95
O000004,P0004,1,136.16,136.16
O000004,P0048,3,102.95,308.85
O000004,P0012,1,41.29,41.29
O000004,P0002,1,50.25,50.25
O000005,P0103,2,44.45,88.9
O000005,P0028,3,68.4,205.2
O000006,P0118,3,27.08,81.24
O000006,P0083,3,132.52,397.56
O000007,P0008,2,86.53,173.06
O000007,P0022,3,47.68,143.04
O000007,P0014,3,17.32,51.96
O000008,P0032,3,165.9,497.7
O000008,P0112,2,53.74,107.48
O000008,P0076,1,89.4,89.4
O000008,P0079,1,57.69,57.69
O000009,P0036,2,26.25,52.5
O000010,P0034,3,28.94,86.82
O000010,P0111,1,17.27,17.27
O000011,P0045,1,22.49,22.49
O000012,P0029,1,38.08,38.08
O000012,P0063,3,28.11,84.33
O000012,P0112,1,53.74,53.74
O000013,P0099,1,54.77,54.77
O000013,P0039,3,24.61,73.83
O000013,P0114,1,239.35,239.35
O000013,P0051,3,66.32,198.96
O000014,P0006,2,47.44,94.88
O000014,P0078,2,45.63,91.26
O000015,P0090,1,74.29,74.29
O000016,P0073,2,53.44,106.88
O000016,P0058,2,45.35,90.7
O000016,P0011,2,41.34,82.68
O000017,P0047,1,41.41,41.41
O000018,P0039,1,24.61,24.61
O000018,P0071,1,67.82,67.82
O000018,P0097,1,65.21,65.21
O000019,P0046,1,35.45,35.45
O000019,P0065,2,88.9,177.8
O000019,P0067,1,52.29,52.29
O000019,P0045,2,22.49,44.98
O000020,P0050,1,18.96,18.96
O000020,P0053,2,36.37,72.74
O000021,P0013,1,63.13,63.13
O000022,P0078,2,45.63,91.26
O000022,P0061,2,40.96,81.92
O000023,P0106,2,69.58,139.16
O000023,P0018,1,65.93,65.93
O000024,P0063,1,28.11,28.11
O000024,P0089,2,39.73,79.46
O000024,P0070,2,37.07,74.14
O000024,P0005,2,47.44,94.88
O000025,P0070,3,37.07,111.21
O000025,P0116,3,65.43,196.29
O000025,P0047,3,41.41,124.23
O000025,P0033,3,54.16,162.48
O000026,P0114,1,239.35,239.35
O000026,P0086,2,40.4,80.8
O000027,P0085,3,33.61,100.83
O000028,P0026,1,58.36,58.36
O000028,P0097,1,65.21,65.21
O000028,P0044,3,45.57,136.71
O000029,P0118,1,27.08,27.08
O000029,P0021,3,131.55,394.65
O000030,P0095,3,43.15,129.45
O000031,P0007,2,140.83,281.66
O000031,P0068,1,99.7,99.7
O000032,P0017,3,29.73,89.19
O000033,P0087,2,94.56,189.12
O000033,P0070,1,37.07,37.07
O000033,P0114,3,239.35,718.05
O000034,P0046,2,35.45,70.9
O000034,P0019,2,31.66,63.32
O000035,P0055,2,101.35,202.7
O000035,P0095,2,43.15,86.3
O000035,P0073,1,53.44,53.44
O000036,P0107,1,169.31,169.31
O000037,P0013,1,63.13,63.13
O000037,P0116,2,65.43,130.86
O000037,P0081,1,47.86,47.86
O000038,P0036,2,26.25,52.5
O000038,P0064,1,26.64,26.64
O000038,P0018,2,65.93,131.86
O000039,P0090,3,74.29,222.87
O000040,P0001,1,73.55,73.55
O000041,P0090,1,74.29,74.29
O000042,P0022,2,47.68,95.36
O000042,P0015,3,19.4,58.2
O000042,P0093,1,35.83,35.83
O000043,P0082,3,67.64,202.92
O000043,P0050,3,18.96,56.88
O000044,P0098,2,63.86,127.72
O000044,P0026,1,58.36,58.36
O000044,P0054,1,78.81,78.81
O000044,P0017,3,29.73,89.19
O000045,P0089,1,39.73,39.73
O000045,P0113,1,56.61,56.61
O000045,P0040,2,61.44,122.88
O000046,P0034,1,28.94,28.94
O000046,P0115,3,48.65,145.95
O000046,P0107,2,169.31,338.62
O000047,P0058,1,45.35,45.35
O000048,P0021,3,131.55,394.65
O000048,P0051,1,66.32,66.32
O000049,P0021,2,131.55,263.1
O000049,P0012,1,41.29,41.29
O000050,P0044,1,45.57,45.57
O000050,P0018,2,65.93,131.86
O000050,P0060,1,98.04,98.04
O000051,P0061,2,40.96,81.92
O000052,P0067,1,52.29,52.29
O000052,P0095,1,43.15,43.15
O000053,P0093,1,35.83,35.83
O000053,P0116,1,65.43,65.43
O000053,P0075,3,11.34,34.02
O000053,P0089,2,39.73,79.46
O000054,P0071,2,67.82,135.64
O000054,P0005,1,47.44,47.44
O000055,P0018,2,65.93,131.86
O000056,P0010,2,75.61,151.22
O000056,P0118,2,27.08,54.16
O000057,P0017,1,29.73,29.73
O000057,P0054,1,78.81,78.81
O000058,P0021,2,131.55,263.1
O000058,P0061,2,40.96,81.92
O000058,P0027,1,27.37,27.37
O000058,P0001,2,73.55,147.1
O000059,P0097,3,65.21,195.63
O000059,P0103,3,44.45,133.35
O000059,P0017,2,29.73,59.46
O000059,P0012,1,41.29,41.29
O000060,P0045,3,22.49,67.47
O000060,P0031,2,38.05,76.1
O000061,P0082,2,67.64,135.28
O000061,P0095,3,43.15,129.45
O000061,P0020,2,23.4,46.8
O000061,P0111,2,17.27,34.54
O000062,P0119,2,108.39,216.78
O000062,P0062,1,48.84,48.84
O000063,P0015,3,19.4,58.2
O000064,P0065,2,88.9,177.8
O000064,P0009,1,41.19,41.19
O000064,P0017,3,29.73,89.19
O000065,P0006,3,47.44,142.32
O000065,P0086,1,40.4,40.4
O000065,P0081,3,47.86,143.58
O000066,P0092,3,97.63,292.89
O000066,P0078,2,45.63,91.26
O000066,P0040,2,61.44,122.88
O000067,P0049,3,67.1,201.3
O000067,P0076,1,89.4,89.4
O000067,P0024,1,23.22,23.22
O000068,P0089,3,39.73,119.19
O000068,P0076,3,89.4,268.2
O000068,P0004,1,136.16,136.16
O000068,P0051,3,66.32,198.96
O000069,P0014,3,17.32,51.96
O000069,P0118,1,27.08,27.08
O000069,P0074,2,139.6,279.2
O000069,P0070,2,37.07,74.14
O000070,P0080,3,16.57,49.71
O000070,P0096,3,22.69,68.07
O000070,P0063,3,28.11,84.33
O000070,P0038,2,16.85,33.7
O000071,P0083,2,132.52,265.04
O000071,P0053,3,36.37,109.11
O000071,P0032,1,165.9,165.9
O000071,P0058,3,45.35,136.05
O000072,P0036,3,26.25,78.75
O000072,P0080,1,16.57,16.57
O000073,P0099,1,54.77,54.77
O000073,P0115,1,48.65,48.65
O000073,P0104,3,33.74,101.22
O000074,P0072,1,137.39,137.39
O000074,P0044,1,45.57,45.57
O000075,P0118,2,27.08,54.16
O000075,P0041,3,85.04,255.12
O000076,P0096,3,22.69,68.07
O000076,P0011,3,41.34,124.02
O000076,P0075,1,11.34,11.34
O000076,P0117,3,53.47,160.41
O000077,P0111,2,17.27,34.54
O000077,P0063,1,28.11,28.11
O000077,P0053,1,36.37,36.37
O000077,P0044,3,45.57,136.71
O000078,P0083,1,132.52,132.52
O000078,P0068,1,99.7,99.7
O000078,P0053,3,36.37,109.11
O000078,P0120,3,85.73,257.19
O000079,P0023,3,56.86,170.58
O000080,P0057,2,33.0,66.0
O000081,P0027,3,27.37,82.11
