order_id,customer_id,order_date,delivery_date,order_total
O000001,C00627,2024-11-26 15:44:34.802121,2024-12-01 15:44:34.802121,254.85
O000002,C00263,2025-08-28 03:42:00.355885,2025-09-01 03:42:00.355885,139.76
O000003,C00434,2025-04-03 03:03:06.891239,2025-04-06 03:03:06.891239,292.8
O000004,C00976,2025-03-29 02:37:37.972249,2025-04-03 02:37:37.972249,536.55
O000005,C00374,2024-07-10 19:15:55.198656,2024-07-13 19:15:55.198656,294.1
O000006,C00612,2024-07-31 09:16:39.897231,2024-08-02 09:16:39.897231,478.8
O000007,C00493,2025-06-26 08:29:36.013918,2025-07-02 08:29:36.013918,368.06
O000008,C00964,2024-12-29 08:52:07.268401,2025-01-01 08:52:07.268401,752.27
O000009,C00272,2024-10-06 19:32:06.046760,2024-10-14 19:32:06.046760,52.5
O000010,C00812,2025-11-16 17:29:19.499473,2025-11-23 17:29:19.499473,104.09
O000011,C00893,2025-08-14 18:43:33.969433,2025-08-18 18:43:33.969433,22.49
O000012,C00660,2024-07-27 22:14:27.540040,2024-08-01 22:14:27.540040,176.15
O000013,C00625,2025-07-27 21:21:40.534818,2025-07-30 21:21:40.534818,566.91
O000014,C00039,2026-06-12 17:38:34.806623,2026-06-19 17:38:34.806623,186.14
O000015,C00959,2024-09-11 00:19:26.769937,2024-09-15 00:19:26.769937,74.29
O000016,C00723,2025-10-05 21:01:08.300113,2025-10-10 21:01:08.300113,280.26
O000017,C00437,2026-04-15 23:33:43.452895,2026-04-22 23:33:43.452895,41.41
O000018,C00351,2024-11-21 08:31:33.007447,2024-11-23 08:31:33.007447,157.64
O000019,C00848,2025-11-24 15:55:49.979263,2025-11-28 15:55:49.979263,310.52
O000020,C00411,2025-10-21 04:35:03.269645,2025-10-27 04:35:03.269645,91.7
O000021,C00306,2024-08-27 20:07:44.458567,2024-09-04 20:07:44.458567,63.13
O000022,C00835,2024-12-23 08:09:51.243477,2024-12-28 08:09:51.243477,173.18
O000023,C00852,2024-10-31 04:15:21.524852,2024-11-03 04:15:21.524852,205.09
O000024,C00981,2026-04-17 03:49:08.456927,2026-04-21 03:49:08.456927,276.59
O000025,C00069,2024-08-18 12:36:05.167872,2024-08-26 12:36:05.167872,594.21
O000026,C00341,2025-06-25 13:40:16.878323,2025-06-29 13:40:16.878323,320.15
O000027,C00598,2024-10-17 22:17:15.971310,2024-10-24 22:17:15.971310,100.83
O000028,C00870,2024-09-23 02:56:23.929401,2024-09-26 02:56:23.929401,260.28
O000029,C00264,2025-09-25 08:12:12.588008,2025-09-29 08:12:12.588008,421.73
O000030,C00850,2024-10-31 04:54:19.428977,2024-11-06 04:54:19.428977,129.45
O000031,C00147,2024-10-30 22:58:08.758043,2024-11-05 22:58:08.758043,381.36
O000032,C00355,2026-02-07 10:59:14.797001,2026-02-12 10:59:14.797001,89.19
O000033,C00418,2025-02-09 23:00:59.659380,2025-02-14 23:00:59.659380,944.24
O000034,C00228,2025-05-13 16:44:32.118019,2025-05-20 16:44:32.118019,134.22
O000035,C00369,2025-12-09 11:56:30.658805,2025-12-16 11:56:30.658805,342.44
O000036,C00356,2025-05-19 21:35:16.596861,2025-05-23 21:35:16.596861,169.31
O000037,C00361,2024-09-28 03:50:40.621410,2024-10-06 03:50:40.621410,241.85
O000038,C00074,2025-10-13 18:04:59.073944,2025-10-19 18:04:59.073944,211.0
O000039,C00980,2025-06-10 10:40:26.721581,2025-06-15 10:40:26.721581,222.87
O000040,C00428,2026-01-02 06:17:06.492150,2026-01-04 06:17:06.492150,73.55
O000041,C00001,2026-01-29 03:19:17.805199,2026-02-02 03:19:17.805199,74.29
O000042,C00380,2024-08-16 07:31:12.478124,2024-08-20 07:31:12.478124,189.39
O000043,C00474,2025-10-27 03:58:37.717023,2025-10-30 03:58:37.717023,259.8
O000044,C00864,2024-11-04 02:45:54.061542,2024-11-07 02:45:54.061542,354.08
O000045,C00184,2025-08-30 15:21:31.641439,2025-09-01 15:21:31.641439,219.22
O000046,C00877,2024-09-01 11:10:24.643423,2024-09-04 11:10:24.643423,513.51
O000047,C00294,2024-11-13 13:25:49.471963,2024-11-15 13:25:49.471963,45.35
O000048,C00551,2025-11-08 18:10:36.601432,2025-11-15 18:10:36.601432,460.97
O000049,C00740,2024-11-13 10:57:08.338527,2024-11-14 10:57:08.338527,304.39
O000050,C00257,2025-07-24 11:36:05.569213,2025-07-29 11:36:05.569213,275.47
O000051,C00475,2026-05-24 19:30:35.368280,2026-05-30 19:30:35.368280,81.92
O000052,C00615,2024-12-12 18:50:18.970713,2024-12-19 18:50:18.970713,95.44
O000053,C00771,2025-02-07 01:51:39.903117,2025-02-09 01:51:39.903117,214.74
O000054,C00034,2026-06-10 10:25:10.430804,2026-06-13 10:25:10.430804,183.08
O000055,C00060,2025-10-16 12:03:55.293160,2025-10-17 12:03:55.293160,131.86
O000056,C00587,2024-09-12 18:38:59.323349,2024-09-19 18:38:59.323349,205.38
O000057,C00425,2025-11-02 09:25:34.717126,2025-11-07 09:25:34.717126,108.54
O000058,C00705,2026-02-07 12:57:50.921673,2026-02-10 12:57:50.921673,519.49
O000059,C00726,2025-11-04 06:37:15.978812,2025-11-15 06:37:15.978812,429.73
O000060,C00141,2025-01-29 07:12:29.439948,2025-02-03 07:12:29.439948,143.57
O000061,C00646,2025-11-16 17:25:15.766397,2025-11-24 17:25:15.766397,346.07
O000062,C00157,2025-05-06 07:52:51.247617,2025-05-10 07:52:51.247617,265.62
O000063,C00770,2024-07-13 11:30:08.308279,2024-07-18 11:30:08.308279,58.2
O000064,C00374,2026-06-01 01:54:35.820647,2026-06-06 01:54:35.820647,308.18
O000065,C00163,2026-02-06 17:50:15.385243,2026-02-13 17:50:15.385243,326.3
O000066,C00933,2025-07-15 22:55:53.551430,2025-07-21 22:55:53.551430,507.03
O000067,C00817,2025-03-25 17:20:02.441168,2025-04-01 17:20:02.441168,313.92
O000068,C00350,2024-12-04 04:40:30.322683,2024-12-12 04:40:30.322683,722.51
O000069,C00936,2025-06-30 18:49:55.728226,2025-07-02 18:49:55.728226,432.38
O000070,C00675,2025-02-26 07:35:06.855159,2025-03-03 07:35:06.855159,235.81
O000071,C00250,2026-04-19 00:18:14.413753,2026-04-25 00:18:14.413753,676.1
O000072,C00783,2025-04-20 03:22:27.622478,2025-04-23 03:22:27.622478,95.32
O000073,C00241,2026-02-20 03:11:13.448311,2026-02-26 03:11:13.448311,204.64
O000074,C00637,2026-03-20 03:40:32.503131,2026-03-25 03:40:32.503131,182.96
O000075,C00376,2025-08-13 20:06:40.350447,2025-08-18 20:06:40.350447,309.28
