order_id,payment_method,installments
O000001,Tarjeta de crédito,10
O000002,PayPal,1
O000003,Tarjeta de crédito,2
O000004,Transferencia,1
O000005,Transferencia,1
O000006,Tarjeta de débito,1
O000007,PayPal,1
O000008,Tarjeta de débito,1
O000009,Tarjeta de crédito,10
O000010,Tarjeta de crédito,2
O000011,Tarjeta de crédito,1
O000012,PayPal,1
O000013,Transferencia,1
O000014,Tarjeta de débito,1
O000015,Transferencia,1
O000016,Tarjeta de crédito,11
O000017,Transferencia,1
O000018,Tarjeta de débito,1
O000019,Transferencia,1
O000020,Tarjeta de crédito,1
O000021,Tarjeta de débito,1
O000022,Transferencia,1
O000023,Tarjeta de débito,1
O000024,PayPal,1
O000025,Transferencia,1
O000026,Tarjeta de débito,1
O000027,Tarjeta de crédito,12
O000028,Transferencia,1
O000029,Tarjeta de crédito,3
O000030,Tarjeta de crédito,11
O000031,Tarjeta de débito,1
O000032,Tarjeta de crédito,7
O000033,PayPal,1
O000034,Tarjeta de débito,1
O000035,Tarjeta de crédito,8
O000036,Tarjeta de débito,1
O000037,Tarjeta de débito,1
O000038,PayPal,1
O000039,PayPal,1
O000040,PayPal,1
O000041,Tarjeta de débito,1
O000042,PayPal,1
O000043,PayPal,1
O000044,Transferencia,1
O000045,Tarjeta de débito,1
O000046,Transferencia,1
O000047,Tarjeta de crédito,12
O000048,PayPal,1
O000049,Tarjeta de crédito,5
O000050,Tarjeta de débito,1
O000051,Transferencia,1
O000052,Tarjeta de débito,1
O000053,Transferencia,1
O000054,Tarjeta de crédito,7
O000055,Tarjeta de débito,1
O000056,PayPal,1
O000057,Tarjeta de débito,1
O000058,PayPal,1
O000059,Tarjeta de crédito,5
O000060,Tarjeta de crédito,2
O000061,Tarjeta de crédito,7
O000062,Transferencia,1
O000063,Tarjeta de débito,1
O000064,PayPal,1
O000065,PayPal,1
O000066,Transferencia,1
O000067,Transferencia,1
O000068,PayPal,1
O000069,Tarjeta de débito,1
O000070,Transferencia,1
O000071,Transferencia,1
O000072,PayPal,1
O000073,PayPal,1
O000074,Tarjeta de crédito,1
O000075,Tarjeta de crédito,8
O000076,Transferencia,1
O000077,Tarjeta de crédito,2
O000078,Transferencia,1
O000079,Tarjeta de débito,1
O000080,Tarjeta de débito,1
O000081,PayPal,1
O000082,Transferencia,1
O000083,Transferencia,1
O000084,Transferencia,1
O000085,Tarjeta de crédito,12
O000086,PayPal,1
O000087,Tarjeta de débito,1
O000088,Tarjeta de débito,1
O000089,Transferencia,1
O000090,Tarjeta de crédito,4
O000091,Transferencia,1
O000092,Transferencia,1
O000093,PayPal,1
O000094,Transferencia,1
O000095,Tarjeta de crédito,7
O000096,Transferencia,1
O000097,Tarjeta de crédito,5
O000098,PayPal,1
O000099,Transferencia,1
O000100,Tarjeta de crédito,6
O000101,Tarjeta de crédito,1
O000102,Tarjeta de débito,1
O000103,Tarjeta de crédito,10
O000104,PayPal,1
O000105,Tarjeta de crédito,3
O000106,PayPal,1
O000107,Tarjeta de débito,1
O000108,PayPal,1
O000109,Tarjeta de crédito,6
O000110,PayPal,1
O000111,Transferencia,1
O000112,PayPal,1
O000113,PayPal,1
O000114,PayPal,1
O000115,Transferencia,1
O000116,Transferencia,1
O000117,Tarjeta de débito,1
O000118,PayPal,1
O000119,Tarjeta de débito,1
O000120,Transferencia,1
O000121,Transferencia,1
O000122,Transferencia,1
O000123,PayPal,1
O000124,PayPal,1
O000125,PayPal,1
O000126,Tarjeta de débito,1
O000127,Tarjeta de débito,1
O000128,Transferencia,1
O000129,PayPal,1
O000130,PayPal,1
O000131,PayPal,1
O000132,Tarjeta de débito,1
O000133,PayPal,1
O000134,Tarjeta de crédito,1
O000135,PayPal,1
O000136,Transferencia,1
O000137,Transferencia,1
O000138,Tarjeta de crédito,3
O000139,Tarjeta de crédito,4
O000140,Transferencia,1
O000141,Transferencia,1
O000142,Tarjeta de crédito,10
O000143,Tarjeta de débito,1
O000144,Tarjeta de débito,1
O000145,Tarjeta de débito,1
O000146,Transferencia,1
O000147,PayPal,1
O000148,Tarjeta de débito,1
O000149,Tarjeta de débito,1
O000150,Tarjeta de débito,1
O000151,PayPal,1
O000152,Transferencia,1
O000153,Transferencia,1
O000154,Tarjeta de crédito,7
O000155,Tarjeta de crédito,4
O000156,PayPal,1
O000157,Transferencia,1
O000158,Transferencia,1
O000159,PayPal,1
O000160,Tarjeta de débito,1
O000161,PayPal,1
O000162,PayPal,1
O000163,Tarjeta de crédito,11
O000164,PayPal,1
O000165,PayPal,1
O000166,Transferencia,1
O000167,Tarjeta de débito,1
O000168,Tarjeta de crédito,9
O000169,Tarjeta de crédito,11
O000170,PayPal,1
O000171,Tarjeta de débito,1
O000172,Tarjeta de débito,1
O000173,Transferencia,1
O000174,PayPal,1
O000175,Transferencia,1
O000176,Transferencia,1
O000177,Transferencia,1
O000178,Transferencia,1
O000179,PayPal,1
O000180,Tarjeta de débito,1
O000181,PayPal,1
O000182,Tarjeta de crédito,9
O000183,Tarjeta de débito,1
O000184,PayPal,1
O000185,Tarjeta de crédito,6
O000186,Tarjeta de crédito,10
O000187,PayPal,1
O000188,Transferencia,1
O000189,Tarjeta de crédito,8
O000190,Tarjeta de crédito,1
